,geo_value_t_minus_3,time_value_t_minus_3,covid_cases_t_minus_3,confirmed_covid_vist_t_minus_3,doctor_visits_t_minus_3,hospital_admissions_t_minus_3,covid_deaths_t_minus_3,home_time_t_minus_3,geo_value_t_minus_2,time_value_t_minus_2,covid_cases_t_minus_2,confirmed_covid_vist_t_minus_2,doctor_visits_t_minus_2,hospital_admissions_t_minus_2,covid_deaths_t_minus_2,home_time_t_minus_2,geo_value_t_minus_1,time_value_t_minus_1,covid_cases_t_minus_1,confirmed_covid_vist_t_minus_1,doctor_visits_t_minus_1,hospital_admissions_t_minus_1,covid_deaths_t_minus_1,home_time_t_minus_1,geo_value,time_value,covid_cases,confirmed_covid_visit,doctor_visits,hospital_admissions,covid_deaths,home_time,covid_cases_t_plus_one
0,22,2020-02-20,0.0,0.012182,0.0,0.110992,0.0,609.137236084453,22,2020-02-21,0.0,0.011169,0.0,0.113524,0.0,587.3067307692307,22,2020-02-22,0.0,0.010473,0.0,0.116683,0.0,679.5859750240154,22,2020-02-23,0.0,0.012124,0.0,0.120299,0.0,767.1392891450529,0.0
1,22,2020-02-21,0.0,0.011169,0.0,0.113524,0.0,587.3067307692307,22,2020-02-22,0.0,0.010473,0.0,0.116683,0.0,679.5859750240154,22,2020-02-23,0.0,0.012124,0.0,0.120299,0.0,767.1392891450529,22,2020-02-24,0.0,0.015453,0.0,0.122005,0.0,597.0153698366955,0.0
2,22,2020-02-22,0.0,0.010473,0.0,0.116683,0.0,679.5859750240154,22,2020-02-23,0.0,0.012124,0.0,0.120299,0.0,767.1392891450529,22,2020-02-24,0.0,0.015453,0.0,0.122005,0.0,597.0153698366955,22,2020-02-25,0.0,0.013187,0.0,0.121372,0.0,332.18408437200384,0.0
3,22,2020-02-23,0.0,0.012124,0.0,0.120299,0.0,767.1392891450529,22,2020-02-24,0.0,0.015453,0.0,0.122005,0.0,597.0153698366955,22,2020-02-25,0.0,0.013187,0.0,0.121372,0.0,332.18408437200384,22,2020-02-26,0.0,0.011903,0.0,0.119758,0.0,557.9290508149569,0.0
4,22,2020-02-24,0.0,0.015453,0.0,0.122005,0.0,597.0153698366955,22,2020-02-25,0.0,0.013187,0.0,0.121372,0.0,332.18408437200384,22,2020-02-26,0.0,0.011903,0.0,0.119758,0.0,557.9290508149569,22,2020-02-27,0.0,0.010852,0.0,0.118561,0.0,598.7329490874159,0.0
5,22,2020-02-25,0.0,0.013187,0.0,0.121372,0.0,332.18408437200384,22,2020-02-26,0.0,0.011903,0.0,0.119758,0.0,557.9290508149569,22,2020-02-27,0.0,0.010852,0.0,0.118561,0.0,598.7329490874159,22,2020-02-28,0.0,0.010195,0.0,0.119094,0.0,587.6445725264169,0.0
6,22,2020-02-26,0.0,0.011903,0.0,0.119758,0.0,557.9290508149569,22,2020-02-27,0.0,0.010852,0.0,0.118561,0.0,598.7329490874159,22,2020-02-28,0.0,0.010195,0.0,0.119094,0.0,587.6445725264169,22,2020-02-29,0.0,0.009712,0.0,0.118809,0.0,698.6730769230769,0.0
7,22,2020-02-27,0.0,0.010852,0.0,0.118561,0.0,598.7329490874159,22,2020-02-28,0.0,0.010195,0.0,0.119094,0.0,587.6445725264169,22,2020-02-29,0.0,0.009712,0.0,0.118809,0.0,698.6730769230769,22,2020-03-01,0.0,0.011162,0.0,0.119646,0.0,787.0498084291188,0.0
8,22,2020-02-28,0.0,0.010195,0.0,0.119094,0.0,587.6445725264169,22,2020-02-29,0.0,0.009712,0.0,0.118809,0.0,698.6730769230769,22,2020-03-01,0.0,0.011162,0.0,0.119646,0.0,787.0498084291188,22,2020-03-02,0.0,0.013988,0.0,0.119067,0.0,629.9511494252873,1.0
9,22,2020-02-29,0.0,0.009712,0.0,0.118809,0.0,698.6730769230769,22,2020-03-01,0.0,0.011162,0.0,0.119646,0.0,787.0498084291188,22,2020-03-02,0.0,0.013988,0.0,0.119067,0.0,629.9511494252873,22,2020-03-03,1.0,0.012357,0.0,0.119366,0.0,604.8535885167464,1.0
