,geo_value,time_value,covid_cases,confirmed_covid_visit,doctor_visits,hospital_admissions,google_anosmia_volume,google_ageusia_volume,covid_deaths,home_time,geo_value_t_minus_1,time_value_t_minus_1,covid_cases_t_minus_1,confirmed_covid_vist_t_minus_1,doctor_visits_t_minus_1,hospital_admissions_t_minus_1,google_anosmia_volume_t_minus_1,google_ageusia_volume_t_minus_1,covid_deaths_t_minus,home_time_t_minus_1,covid_cases_t_plus_one
0,5,2020-02-21,0.0,0.011169,0.0,0.113524,0.06,0.06,0.0,587.3067307692307,5,2020-02-20,0.0,0.012182,0.0,0.110992,0.06,0.06,0.0,609.137236084453,0.0
1,5,2020-02-22,0.0,0.010473,0.0,0.116683,0.08,0.06,0.0,679.5859750240154,5,2020-02-21,0.0,0.011169,0.0,0.113524,0.06,0.06,0.0,587.3067307692307,0.0
4,5,2020-02-27,0.0,0.010852,0.0,0.118561,0.11,0.05,0.0,598.7329490874159,5,2020-02-26,0.0,0.011903,0.0,0.119758,0.07,0.05,0.0,557.9290508149569,0.0
5,5,2020-02-28,0.0,0.010195,0.0,0.119094,0.07,0.05,0.0,587.6445725264169,5,2020-02-27,0.0,0.010852,0.0,0.118561,0.11,0.05,0.0,598.7329490874159,0.0
6,5,2020-02-29,0.0,0.009712,0.0,0.118809,0.07,0.05,0.0,698.6730769230769,5,2020-02-28,0.0,0.010195,0.0,0.119094,0.07,0.05,0.0,587.6445725264169,0.0
7,5,2020-03-01,0.0,0.011162,0.0,0.119646,0.06,0.07,0.0,787.0498084291188,5,2020-02-29,0.0,0.009712,0.0,0.118809,0.07,0.05,0.0,698.6730769230769,0.0
8,5,2020-03-02,0.0,0.013988,0.0,0.119067,0.08,0.07,0.0,629.9511494252873,5,2020-03-01,0.0,0.011162,0.0,0.119646,0.06,0.07,0.0,787.0498084291188,1.0
9,5,2020-03-03,1.0,0.012357,0.0,0.119366,0.07,0.04,0.0,604.8535885167464,5,2020-03-02,0.0,0.013988,0.0,0.119067,0.08,0.07,0.0,629.9511494252873,1.0
10,5,2020-03-04,1.0,0.011438,0.019267,0.119776,0.06,0.05,0.0,620.3758389261745,5,2020-03-03,1.0,0.012357,0.0,0.119366,0.07,0.04,0.0,604.8535885167464,1.0
11,5,2020-03-05,1.0,0.010639,0.016927,0.119895,0.12,0.05,0.0,612.3649425287356,5,2020-03-04,1.0,0.011438,0.019267,0.119776,0.06,0.05,0.0,620.3758389261745,1.0
12,5,2020-03-06,1.0,0.010242,0.014341,0.11982,0.1,0.08,0.0,593.4918504314478,5,2020-03-05,1.0,0.010639,0.016927,0.119895,0.12,0.05,0.0,612.3649425287356,2.0
13,5,2020-03-07,2.0,0.016023,0.011658,0.185543,0.1,0.08,0.0,704.2097701149426,5,2020-03-06,1.0,0.010242,0.014341,0.11982,0.1,0.08,0.0,593.4918504314478,2.0
14,5,2020-03-08,2.0,0.018032,0.019996,0.245598,0.1,0.06,0.0,753.6427203065134,5,2020-03-07,2.0,0.016023,0.011658,0.185543,0.1,0.08,0.0,704.2097701149426,3.0
